Author,Born-Died,TITLE,time,TECHNIQUE,LOCATION,LATITUDE,LONGITUDE,DESC,PRECISION,URL,FORM,TYPE,SCHOOL,TIMELINE,Genre,ID
VIEN Joseph-Marie,(b. 1716 Montpellier d. 1809 Paris),St Denis Preaching in Gaul,1767,Oil on canvas 660 x 393 cm,Saint-Roch Paris,48.86516,2.3328,Passage Saint-Roch 75001 Paris France,street,http://www.wga.hu/art/v/vien/st_denis.jpg,painting,religious,French,1751-1800,Neoclassicism,/v/vien/st_denis
GHERARDINI Tommaso,(b. 1715 Firenze d. 1797 Firenze),Origin of the Roman Empire,Y1768,Fresco,Villa Poggio Imperiale Arcetri Florence,43.7458687,11.2529402,Arcetri Tosc. Italy,city/town,http://www.wga.hu/art/g/gherardl/poggio1.jpg,painting,historical,Italian,1751-1800,Neoclassicism,/g/gherardl/poggio1
GHERARDINI Tommaso,(b. 1715 Firenze d. 1797 Firenze),Wall decoration,Y1768,Fresco,Villa Poggio Imperiale Arcetri Florence,43.7458687,11.2529402,Arcetri Tosc. Italy,city/town,http://www.wga.hu/art/g/gherardl/poggio2.jpg,painting,mythological,Italian,1751-1800,Neoclassicism,/g/gherardl/poggio2
VIEN Joseph-Marie,(b. 1716 Montpellier d. 1809 Paris),Venus Showing Mars her Doves Making a Nest in his Helmet,1768,Oil on canvas,The Hermitage St. Petersburg,59.9331818,30.3060398,St Petersburg Russia,city/town,http://www.wga.hu/art/v/vien/mars_ven.jpg,painting,mythological,French,1751-1800,Neoclassicism,/v/vien/mars_ven
DAVID Jacques-Louis,(b. 1748 Paris d. 1825 Bruxelles),Portrait of Marie-Franoise Buron,1769,Oil on canvas 66 x 54 cm,Muse National des Beaux-Arts Algiers,36.7805595,3.03901,Algiers Algeria,city/town,http://www.wga.hu/art/d/david_j/1/102david.jpg,painting,portrait,French,1801-1850,Neoclassicism,/d/david_j/1/102david
TRABALLESI Giuliano,(b. 1727 Firenze d. 1812 Milano),Ceiling decoration,Y1769,Fresco,Villa Poggio Imperiale Arcetri Florence,43.7458687,11.2529402,Arcetri Tosc. Italy,city/town,http://www.wga.hu/art/t/traballe/poggio.jpg,painting,mythological,Italian,1751-1800,Neoclassicism,/t/traballe/poggio
GANDOLFI Ubaldo,(b. 1728 San Matteo della Decima d. 1781 Ravenna),Emperor Henry IV at Canossa,Y1770,Terracotta height 61 cm,Metropolitan Museum of Art New York,40.7793121,-73.9633408,The Metropolitan Museum Of Art NY,PointOfInterest,http://www.wga.hu/art/g/gandolfi/ubaldo/henry4.jpg,sculpture,portrait,Italian,1751-1800,Neoclassicism,/g/gandolfi/ubaldo/henry4
KNOLLER Martin,(b. 1725 Steinach am Brenner d. 1804 Milano),Ceiling frescoes,Y1770,Fresco,Abbey church Neresheim,48.7539215,10.3334703,Neresheim BW Germany,city/town,http://www.wga.hu/art/k/knoller/nereshei.jpg,painting,religious,Austrian,1751-1800,Neoclassicism,/k/knoller/nereshei
DEVIS Thomas Anthony,(b. 1757 London d. 1810 London),Admiral Michael Clements,1770,Oil on canvas 61 x 51 cm,Harris Museum and Art Gallery Preston,53.7578888,-2.7057199,Preston Lancashire United Kingdom,city/town,http://www.wga.hu/art/d/devis/thomas/admiral.jpg,painting,portrait,English,1751-1800,Realism,/d/devis/thomas/admiral
BEAUFORT Jacques-Antoine,(b. 1721 Paris d. 1784 Reuil),The Oath of Brutus,1771,Oil on canvas 129 x 167 cm,Muse Municipal Frederic Blandin Nevers,46.9890213,3.1572299,Nevers Nivre France,city/town,http://www.wga.hu/art/b/beaufort/brutus.jpg,painting,historical,French,1751-1800,Neoclassicism,/b/beaufort/brutus
DAVID Jacques-Louis,(b. 1748 Paris d. 1825 Bruxelles),The Combat of Mars and Minerva,1771,Oil on canvas 146 x 181 cm,Muse du Louvre Paris,48.8610878,2.3357501,Louvre Paris France,TouristStructure,http://www.wga.hu/art/d/david_j/1/103david.jpg,painting,mythological,French,1801-1850,Neoclassicism,/d/david_j/1/103david
SUVE Joseph-Benoit,(b. 1743 Brugge d. 1807 Roma),The Combat of Mars and Minerva,1771,Oil on canvas 143 x 104 cm,Muse des Beaux-Arts Lille,50.6371498,3.06283,Lille Nord France,city/town,http://www.wga.hu/art/s/suvee/combat.jpg,painting,mythological,Flemish,1751-1800,Neoclassicism,/s/suvee/combat
GHERARDINI Tommaso,(b. 1715 Firenze d. 1797 Firenze),Ceiling decoration,Y1772,Fresco,Villa Poggio Imperiale Arcetri Florence,43.7458687,11.2529402,Arcetri Tosc. Italy,city/town,http://www.wga.hu/art/g/gherardl/poggio3.jpg,painting,mythological,Italian,1751-1800,Neoclassicism,/g/gherardl/poggio3
LEMONNIER Anicet-Charles-Gabriel,(b. 1743 Rouen d. 1824 Paris),Apollo and Diana Attacking Niobe and her Children,1772,Oil on canvas 141 x 112 cm,Muse des Beaux-Arts Rouen,49.4401398,1.0894099,Rouen Seine-Maritime France,city/town,http://www.wga.hu/art/l/lemonnie/apollo_d.jpg,painting,mythological,French,1751-1800,Neoclassicism,/l/lemonnie/apollo_d
MORO Giuseppe del,(b. 1718 Firenze d. 1781 Firenze),View of the Sala di Diana,1773,Fresco,Villa Poggio Imperiale Arcetri Florence,43.7458687,11.2529402,Arcetri Tosc. Italy,city/town,http://www.wga.hu/art/m/moro/poggio1.jpg,painting,interior,Italian,1751-1800,Neoclassicism,/m/moro/poggio1
TERRENI Giuseppe Maria,(b. 1739 Livorno d. 1811 Livorno),View of the Sala delle Opere e dei Giorni,1773,Fresco,Villa Poggio Imperiale Arcetri Florence,43.7458687,11.2529402,Arcetri Tosc. Italy,city/town,http://www.wga.hu/art/t/terreni/poggio1.jpg,painting,interior,Italian,1751-1800,Neoclassicism,/t/terreni/poggio1
TERRENI Giuseppe Maria,(b. 1739 Livorno d. 1811 Livorno),Wall painting: Nobleman in Front of a Tavern,1773,Fresco,Villa Poggio Imperiale Arcetri Florence,43.7458687,11.2529402,Arcetri Tosc. Italy,city/town,http://www.wga.hu/art/t/terreni/poggio3.jpg,painting,genre,Italian,1751-1800,Neoclassicism,/t/terreni/poggio3
TERRENI Giuseppe Maria,(b. 1739 Livorno d. 1811 Livorno),Wall painting: Shepherd Idyll,1773,Fresco,Villa Poggio Imperiale Arcetri Florence,43.7458687,11.2529402,Arcetri Tosc. Italy,city/town,http://www.wga.hu/art/t/terreni/poggio2.jpg,painting,genre,Italian,1751-1800,Neoclassicism,/t/terreni/poggio2
DAVID Jacques-Louis,(b. 1748 Paris d. 1825 Bruxelles),The Death of Seneca,1773,Oil on canvas 123 x 160 cm,Muse du Petit Palais Paris,43.9510231,4.8065348,Musee Du Petit Palais Vaucluse France,Unknown,http://www.wga.hu/art/d/david_j/1/104david.jpg,painting,historical,French,1801-1850,Neoclassicism,/d/david_j/1/104david
DAVID Jacques-Louis,(b. 1748 Paris d. 1825 Bruxelles),Sorrow,1773,Coloured chalks on paper 535 x 410 mm,cole Nationale Suprieure des Beaux-Arts Paris,48.8567123,2.3335221,cole nationale suprieure des Beaux-Arts Paris France,TouristStructure,http://www.wga.hu/art/d/david_j/6/601david.jpg,graphics,portrait,French,1801-1850,Neoclassicism,/d/david_j/6/601david
VIEN Joseph-Marie,(b. 1716 Montpellier d. 1809 Paris),Greek Maidens Adorning a Sleeping Cupid with Flowers,1773,Oil on canvas 335 x 194 cm,Muse du Louvre Paris,48.8610878,2.3357501,Louvre Paris France,TouristStructure,http://www.wga.hu/art/v/vien/progres1.jpg,painting,mythological,French,1751-1800,Neoclassicism,/v/vien/progres1
VIEN Joseph-Marie,(b. 1716 Montpellier d. 1809 Paris),Lover Crowning his Mistress,1773,Oil on canvas 335 x 202 cm,Muse du Louvre Paris,48.8610878,2.3357501,Louvre Paris France,TouristStructure,http://www.wga.hu/art/v/vien/progres2.jpg,painting,mythological,French,1751-1800,Neoclassicism,/v/vien/progres2
FUSELI John Henry,(b. 1741 Zurich d. 1825 London),Dante and Virgil on the Ice of Kocythos,1774,Pen and sepia watercolour 390 x 274 mm,Kunsthaus Zurich,47.370224,8.5480356,Kunsthaus Zrich Switzerland,LandmarkBuilding,http://www.wga.hu/art/f/fuseli/01dante.jpg,graphics,other,Swiss,1751-1800,Romanticism,/f/fuseli/01dante
DAVID Jacques-Louis,(b. 1748 Paris d. 1825 Bruxelles),Antiochus and Stratonica,1774,Oil on canvas 120 x 155 cm,cole Nationale Suprieure des Beaux-Arts Paris,48.8567123,2.3335221,cole nationale suprieure des Beaux-Arts Paris France,TouristStructure,http://www.wga.hu/art/d/david_j/1/105david.jpg,painting,historical,French,1801-1850,Neoclassicism,/d/david_j/1/105david
KNOLLER Martin,(b. 1725 Steinach am Brenner d. 1804 Milano),Assumption of the Virgin,1774,Oil on canvas 220 x 82 cm,Muse du Louvre Paris,48.8610878,2.3357501,Louvre Paris France,TouristStructure,http://www.wga.hu/art/k/knoller/assumpti.jpg,painting,religious,Austrian,1751-1800,Neoclassicism,/k/knoller/assumpti
GOYA Y LUCIENTES Francisco de,(b. 1746 Fuendetodos d. 1828 Bordeaux),The Quail Shoot,1775,Oil on canvas 290 x 226 cm,Museo del Prado Madrid,40.4138145,-3.6921949,Prado Museum Community of Madrid Spain,PointOfInterest,http://www.wga.hu/art/g/goya/1/12goya.jpg,tapestry,genre,Spanish,1801-1850,Romanticism,/g/goya/1/12goya
ROSSI Mariano,(b. 1731 Sciacca d. 1807 Roma),Ceiling decoration,1775,Fresco,Casino of Villa Borghese Rome,41.9137344,12.4848595,Villa Borghese Laz. Italy,Park,http://www.wga.hu/art/r/rossi_m/borghese.jpg,painting,mythological,Italian,1751-1800,Neoclassicism,/r/rossi_m/borghese
TRABALLESI Giuliano,(b. 1727 Firenze d. 1812 Milano),Nave vault decoration,1775,Fresco,Oratorio San Filippo Neri Florence,43.7823715,11.2549896,Florence Tosc. Italy,city/town,http://www.wga.hu/art/t/traballe/sanfilip.jpg,painting,mythological,Italian,1751-1800,Neoclassicism,/t/traballe/sanfilip
