Author,Born-Died,TITLE,time,TECHNIQUE,LOCATION,LATITUDE,LONGITUDE,DESC,PRECISION,URL,FORM,TYPE,SCHOOL,TIMELINE,Genre,ID
PALAGI Pelagio,(b. 1775/77 Bologna d. 1860 Torino),Stool,Y1835,Gilded wood,Palazzo Reale Turin,45.0730591,7.6863599,Palazzo Reale Piem. Italy,HistoricalSite,http://www.wga.hu/art/p/palagi/stool.jpg,furniture,other,Italian,1801-1850,Neoclassicism,/p/palagi/stool
LOOS Friedrich,(b. 1797 Graz d. 1890 Kiel),Kolm Saigurn in the Rauris Valley with the Sonnblick,1835,Oil on canvas 73 x 58 cm,Residenzgalerie Salzburg,47.8006516,13.0433702,Salzburg Austria,city/town,http://www.wga.hu/art/l/loos/sonnblic.jpg,painting,landscape,Austrian,1801-1850,Romanticism,/l/loos/sonnblic
LOOS Friedrich,(b. 1797 Graz d. 1890 Kiel),The Rudolfskai in Salzburg,1835,Oil pencil pen on paper mounted on wood 28 x 58 cm,Residenzgalerie Salzburg,47.8006516,13.0433702,Salzburg Austria,city/town,http://www.wga.hu/art/l/loos/salzburg.jpg,painting,landscape,Austrian,1801-1850,Romanticism,/l/loos/salzburg
AMERLING Friedrich von,(b. 1803 Wien d. 1887 Wien),Maiden with a Straw Hat,1835,Oil on canvas 59 x 47 cm,Neue Pinakothek Munich,48.1499672,11.5709553,Neue Pinakothek BY Germany,LandmarkBuilding,http://www.wga.hu/art/a/amerling/girlyel.jpg,painting,portrait,Austrian,1801-1850,Romanticism,/a/amerling/girlyel
COROT Jean-Baptiste Camille,(b. 1796 Paris d. 1875 Paris),Landscape near Riva on Lake Garda,1835,Oil on canvas 99 x 142 cm,Neue Pinakothek Munich,48.1499672,11.5709553,Neue Pinakothek BY Germany,LandmarkBuilding,http://www.wga.hu/art/c/corot/corot061.jpg,painting,landscape,French,1801-1850,Realism,/c/corot/corot061
HESS Peter von,(b. 1792 Dsseldorf d. 1871 Mnchen),The Entry of King Othon of Greece into Nauplia,1835,Oil on canvas 269 x 415 cm,Neue Pinakothek Munich,48.1499672,11.5709553,Neue Pinakothek BY Germany,LandmarkBuilding,http://www.wga.hu/art/h/hess/peter/nauplia.jpg,painting,historical,German,1801-1850,Romanticism,/h/hess/peter/nauplia
AMERLING Friedrich von,(b. 1803 Wien d. 1887 Wien),Girl in Yellow Hat,1835,Oil on canvas 58 x 47 cm,Kunsthistorisches Museum Vienna,48.2084274,16.377821,Vienna,state/province,http://www.wga.hu/art/a/amerling/girlyell.jpg,painting,portrait,Austrian,1801-1850,Romanticism,/a/amerling/girlyell
NIGG Joseph,(b. 1782 Wien d. 1863 Wien),Flower Piece,1835,Oil on canvas 80 x 64 cm,sterreichische Galerie Belvedere Vienna,48.2084274,16.377821,Vienna,state/province,http://www.wga.hu/art/n/nigg/flowers.jpg,painting,still-life,Austrian,1801-1850,Romanticism,/n/nigg/flowers
SCHWIND Moritz von,(b. 1804 Wien d. 1871 Niederpcking),Landscape with Wanderer,1835,Brown pen on yellowish paper 428 x 271 mm,Graphische Sammlung Albertina Vienna,48.2084274,16.377821,Vienna,state/province,http://www.wga.hu/art/s/schwind/wanderer.jpg,graphics,landscape,Austrian,1801-1850,Romanticism,/s/schwind/wanderer
WALDMLLER Fedinand Georg,(b. 1793 Wien d. 1865 Helmstreitmhle),The Eltz Family,1835,Oil on canvas 124 x 110 cm,Kunsthistorisches Museum Vienna,48.2084274,16.377821,Vienna,state/province,http://www.wga.hu/art/w/waldmull/the_eltz.jpg,painting,portrait,Austrian,1801-1850,Romanticism,/w/waldmull/the_eltz
MARILHAT Prosper,(b. 1811 Vertaizon d. 1847 Paris),View of Ezbekiyah Cairo,1835,Engraving,Bibliothque Nationale Paris,48.8330574,2.3627779,Nationale Paris France,PointOfInterest,http://www.wga.hu/art/m/marilhat/ezbekiya.jpg,graphics,landscape,French,1801-1850,Romanticism,/m/marilhat/ezbekiya
RAFFET Auguste,(b. 1804 Paris d. 1860 Genova),Waterloo The Retreat of the Holy Battallion June 18 1815,1835,Lithograph 200 x 370 mm,Bibliothque Nationale Paris,48.8330574,2.3627779,Nationale Paris France,PointOfInterest,http://www.wga.hu/art/r/raffet/waterloo.jpg,painting,historical,French,1801-1850,Neoclassicism,/r/raffet/waterloo
CHASSRIAU Thodore,(b. 1819 Sainte-Barbe de Samana d. 1856 Paris),Self-Portrait,1835,Oil on canvas 99 x 82 cm,Muse du Louvre Paris,48.8610878,2.3357501,Louvre Paris France,TouristStructure,http://www.wga.hu/art/c/chasseri/selfport.jpg,painting,portrait,French,1801-1850,Romanticism,/c/chasseri/selfport
TURNER Joseph Mallord William,(b. 1775 London d. 1851 Chelsea),Landscape with a River and a Bay in the Background,Y1835,Oil on canvas 93 x 123 cm,Muse du Louvre Paris,48.8610878,2.3357501,Louvre Paris France,TouristStructure,http://www.wga.hu/art/t/turner/1/111turne.jpg,painting,landscape,English,1801-1850,Romanticism,/t/turner/1/111turne
KINSOEN Franois-Joseph,(b. 1771 Bruges d. 1839 Bruges),Portrait of Marie J. Lafont-Porcher,1835,Oil on canvas 100 x 81 cm,Groeninge Museum Bruges,51.2084694,3.2244999,Bruges Belgium,city/town,http://www.wga.hu/art/k/kinsoen/lafont.jpg,painting,portrait,Flemish,1801-1850,Romanticism,/k/kinsoen/lafont
CONSTABLE John,(b. 1776 East Bergholt d. 1837 Hampstead),Stonehenge,1835,Watercolour 387 x 591 mm,Victoria and Albert Museum London,51.4969101,-0.17206,Victoria and Albert Museum United Kingdom,PointOfInterest,http://www.wga.hu/art/c/constabl/stonehen.jpg,graphics,landscape,English,1801-1850,Romanticism,/c/constabl/stonehen
PHILLIPS Thomas,(b. 1770 Dudley d. 1845 London),Byron in Arnaout Dress,1835,Oil on canvas 77 x 64 cm,National Portrait Gallery London,51.5064201,-0.12721,London London United Kingdom,city/town,http://www.wga.hu/art/p/phillips/byron.jpg,painting,portrait,English,1801-1850,Romanticism,/p/phillips/byron
SCHEFFER Ary,(b. 1795 Dordrecht d. 1858 Argenteuil),The Ghosts of Paolo and Francesca Appear to Dante and Virgil,1835,Oil on canvas 167 x 234 cm,Wallace Collection London,51.5170708,-0.15283,Wallace Collection United Kingdom,PointOfInterest,http://www.wga.hu/art/s/scheffer/paolo_f1.jpg,painting,other,Dutch,1801-1850,Romanticism,/s/scheffer/paolo_f1
BLECHEN Karl,(b. 1797 Cottbus d. 1840 Berlin),View of Rooftops and Gardens,1835,Oil on canvas 20 x 26 cm,Nationalgalerie Berlin,52.5160713,13.3769798,Berlin BE Germany,city/town,http://www.wga.hu/art/b/blechen/10roof.jpg,painting,landscape,German,1801-1850,Romanticism,/b/blechen/10roof
FRIEDRICH Caspar David,(b. 1774 Greifswald d. 1840 Dresden),Wreck in the Moonlight,1835,Oil on canvas 31 3 x 42 5 cm,Nationalgalerie Berlin,52.5160713,13.3769798,Berlin BE Germany,city/town,http://www.wga.hu/art/f/friedric/4/412fried.jpg,painting,landscape,German,1801-1850,Romanticism,/f/friedric/4/412fried
FRIEDRICH Caspar David,(b. 1774 Greifswald d. 1840 Dresden),Neubrandenburg in Flames (Sunrise near Neubrandenburg),1835,Oil on canvas 72 x 101 cm,Kunsthalle Hamburg,53.5537491,9.9918299,Hamburg HH Germany,city/town,http://www.wga.hu/art/f/friedric/4/411fried.jpg,painting,landscape,German,1801-1850,Romanticism,/f/friedric/4/411fried
CONSTABLE John,(b. 1776 East Bergholt d. 1837 Hampstead),View on the River Severn at Worcester,1835,Pencil on paper 218 x 181 mm,National Gallery of Scotland Edinburgh,55.950901,-3.1956611,Scottish National Gallery United Kingdom,Museum,http://www.wga.hu/art/c/constabl/viewseve.jpg,graphics,landscape,English,1801-1850,Romanticism,/c/constabl/viewseve
GEIKIE Walter,(b. 1795 Edinburgh d. 1837 Edinburgh),Drunken Man,1835,Etching,National Gallery of Scotland Edinburgh,55.950901,-3.1956611,Scottish National Gallery United Kingdom,Museum,http://www.wga.hu/art/g/geikie/drunken.jpg,graphics,genre,Scottish,1801-1850,Romanticism,/g/geikie/drunken
GRTNER Eduard,(b. 1801 Berlin d. 1877 Berlin),English Embankment in Petersburg,1835,Watercolour 195 x 335 mm,The Hermitage St. Petersburg,59.9331818,30.3060398,St Petersburg Russia,city/town,http://www.wga.hu/art/g/gartner/petersbu.jpg,graphics,landscape,German,1801-1850,Romanticism,/g/gartner/petersbu
HAGEN August Mathias,(b. 1794 Vijciems d. 1878 Tartu),Sea Bay,1835,Oil on canvas 36 x 59 cm,The Hermitage St. Petersburg,59.9331818,30.3060398,St Petersburg Russia,city/town,http://www.wga.hu/art/h/hagen/sea_bay.jpg,painting,landscape,German,1801-1850,Realism,/h/hagen/sea_bay
VERNET Horace,(b. 1789 Paris d. 1863 Paris),Self-Portrait,1835,Oil on canvas 47 x 39 cm,The Hermitage St. Petersburg,59.9331818,30.3060398,St Petersburg Russia,city/town,http://www.wga.hu/art/v/vernet/horace/selfport.jpg,painting,portrait,French,1801-1850,Romanticism,/v/vernet/horace/selfport
AMERLING Friedrich von,(b. 1803 Wien d. 1887 Wien),Portrait of Count Istvn Szchenyi,1836,Oil on canvas 250 x 165 cm,Hungarian Academy of Sciences Budapest,37.7697296,-122.466095,California Academy of Sciences CA,PointOfInterest,http://www.wga.hu/art/a/amerling/szecheny.jpg,painting,portrait,Austrian,1801-1850,Romanticism,/a/amerling/szecheny
COLE Thomas,(b. 1801 Bolton-le-Moor d. 1848 Catskill),The Consummation of the Empire,1836,Oil on canvas 130 x 193 cm,New York Historical Society New York,40.7792969,-73.9742813,New-York Historical Society Museum & Library NY,PointOfInterest,http://www.wga.hu/art/c/cole/empire.jpg,painting,other,American,1801-1850,Romanticism,/c/cole/empire
COLE Thomas,(b. 1801 Bolton-le-Moor d. 1848 Catskill),View from Mount Holyoke Northamptom Massachusetts after a Thunderstorm (detail),1836,Oil on canvas,Metropolitan Museum of Art New York,40.7793121,-73.9633408,The Metropolitan Museum Of Art NY,PointOfInterest,http://www.wga.hu/art/c/cole/oxbow1.jpg,painting,landscape,American,1801-1850,Romanticism,/c/cole/oxbow1
COLE Thomas,(b. 1801 Bolton-le-Moor d. 1848 Catskill),View from Mount Holyoke Northamptom Massachusetts after a Thunderstorm (The Oxbow),1836,Oil on canvas 131 x 193 cm,Metropolitan Museum of Art New York,40.7793121,-73.9633408,The Metropolitan Museum Of Art NY,PointOfInterest,http://www.wga.hu/art/c/cole/oxbow.jpg,painting,landscape,American,1801-1850,Romanticism,/c/cole/oxbow
DAUZATS Adrien,(b. 1804 Bordeaux d. 1868 Paris),The Giralda Seville,Y1836,Oil on paper laid down on canvas 21 x 30 cm,Metropolitan Museum of Art New York,40.7793121,-73.9633408,The Metropolitan Museum Of Art NY,PointOfInterest,http://www.wga.hu/art/d/dauzats/giralda.jpg,painting,landscape,French,1801-1850,Romanticism,/d/dauzats/giralda
BEZZUOLI Giuseppe,(b. 1784 Firenze d. 1855 Firenze),Marie Antoinette Archduchess of Tuscany,1836,Oil on canvas 191 x 146 cm,Galleria Palatina (Palazzo Pitti) Florence,43.7650909,11.249855,Palazzo Pitti Tosc. Italy,LandmarkBuilding,http://www.wga.hu/art/b/bezzuoli/marieant.jpg,painting,portrait,Italian,1801-1850,Romanticism,/b/bezzuoli/marieant
HAYEZ Francesco,(b. 1791 Venezia d. 1882 Milano),Crusaders Thirsting near Jerusalem,Y1836,Oil on canvas,Palazzo Reale Turin,45.0730591,7.6863599,Palazzo Reale Piem. Italy,HistoricalSite,http://www.wga.hu/art/h/hayez/4hayez.jpg,painting,historical,Italian,1801-1850,Romanticism,/h/hayez/4hayez
AMERLING Friedrich von,(b. 1803 Wien d. 1887 Wien),Portrait of Princess Marie Franziska von Liechtenstein Aged Two,1836,Oil on canvas,Liechtenstein Museum Vienna,47.1412697,9.552783,Liechtenstein,country,http://www.wga.hu/art/a/amerling/princess.jpg,painting,portrait,Austrian,1801-1850,Romanticism,/a/amerling/princess
BARABS Mikls,(b. 1810 Kzdimrkosfalva d. 1898 Budapest),Portrait of Jnos Buttler,1836,Oil on canvas 250 x 153 cm,Dob Istvn Vrmzeum Eger,47.8990097,20.3735695,Eger Hungary,city/town,http://www.wga.hu/art/b/barabas/buttler.jpg,painting,portrait,Hungarian,1801-1850,Romanticism,/b/barabas/buttler
JACQUAND Claudius,(b. 1803 Lyon d. 1878 Paris),The Count of Comminges Recognizing Adlaide,1836,Oil on canvas 163 x 208 cm,Muse des Beaux-Arts Rennes,48.1076508,-1.68448,Rennes Ille-et-Vilaine France,city/town,http://www.wga.hu/art/j/jacquand/comminge.jpg,painting,historical,French,1801-1850,Romanticism,/j/jacquand/comminge
CORNELIUS Peter,(b. 1783 Dsseldorf d. 1867 Berlin),The Last Judgment,Y1836,Fresco,Ludwigskirche Munich,48.1488953,11.5811853,Ludwigskirche BY Germany,HistoricalSite,http://www.wga.hu/art/c/corneliu/lastjudg.jpg,painting,religious,German,1801-1850,Romanticism,/c/corneliu/lastjudg
WALDMLLER Fedinand Georg,(b. 1793 Wien d. 1865 Helmstreitmhle),Waldmller's Son Ferdinand with Dog,1836,Oil on canvas 39 x 31 cm,Neue Pinakothek Munich,48.1499672,11.5709553,Neue Pinakothek BY Germany,LandmarkBuilding,http://www.wga.hu/art/w/waldmull/son_dog.jpg,painting,portrait,Austrian,1801-1850,Romanticism,/w/waldmull/son_dog
FHRICH Joseph von,(b. 1800 Kratzau d. 1876 Wien),Jacob Encountering Rachel with her Father's Herds,1836,Oil on canvas 66 x 92 cm,sterreichische Galerie Belvedere Vienna,48.2084274,16.377821,Vienna,state/province,http://www.wga.hu/art/f/fuhrich/jacob_ra.jpg,painting,religious,Bohemian,1801-1850,Romanticism,/f/fuhrich/jacob_ra
FLANDRIN Hippolyte,(b. 1809 Lyon d. 1864 Paris),Young Man by the Sea,1836,Oil on canvas 98 x 124 cm,Muse du Louvre Paris,48.8610878,2.3357501,Louvre Paris France,TouristStructure,http://www.wga.hu/art/f/flandrin/man_sea.jpg,painting,other,French,1801-1850,Romanticism,/f/flandrin/man_sea
COLLINS William,(b. 1788 London d. 1847 London),Sunday Morning,1836,Oil on canvas 81 x 107 cm,Tate Gallery London,51.4908333,-0.127222,Tate Britain United Kingdom,Museum,http://www.wga.hu/art/c/collins1/morning.jpg,painting,genre,English,1801-1850,Romanticism,/c/collins1/morning
BLECHEN Karl,(b. 1797 Cottbus d. 1840 Berlin),Bathers in Terni Park,1836,Oil on canvas 107 x 78 cm,Nationalgalerie Berlin,52.5160713,13.3769798,Berlin BE Germany,city/town,http://www.wga.hu/art/b/blechen/12bather.jpg,painting,landscape,German,1801-1850,Romanticism,/b/blechen/12bather
FRIEDRICH Caspar David,(b. 1774 Greifswald d. 1840 Dresden),Landscape with Grave Coffin and Owl,Y1836,Sepia over pencil 385 x 383 mm,Kunsthalle Hamburg,53.5537491,9.9918299,Hamburg HH Germany,city/town,http://www.wga.hu/art/f/friedric/5/513fried.jpg,graphics,landscape,German,1801-1850,Romanticism,/f/friedric/5/513fried
ZARYANKO Sergey Konstantinovich,(b. 1818 Lyady d. 1871 Moscow),The Fieldmarshals' Hall in the Winter Palace,1836,Oil on canvas 81 x 109 cm,The Hermitage St. Petersburg,59.9331818,30.3060398,St Petersburg Russia,city/town,http://www.wga.hu/art/z/zaryanko/interio1.jpg,painting,interior,Russian,1801-1850,Neoclassicism,/z/zaryanko/interio1
HEIM Franois-Joseph,(b. 1787 Belfort d. 1865 Paris),Louis-Philippe Opening the Galerie des Batailles 10 June 1837,1837,Oil on canvas 34 x 47 cm,Muse National du Chteau Versailles,38.7341385,41.4906387,Mu Turkey,city/town,http://www.wga.hu/art/h/heim/opening.jpg,painting,historical,French,1801-1850,Neoclassicism,/h/heim/opening
VANDERLYN John,(b. 1775 Kingston d. 1852 Kingston),Columbus Landing at Guanahani 1492,Y1837,Oil on canvas 365 x 548 cm,Rotunda US Capitol Washington,38.8903694,-77.0319595,Washington DC,city/town,http://www.wga.hu/art/v/vanderly/columbus.jpg,painting,historical,American,1801-1850,Romanticism,/v/vanderly/columbus
COIGNET Jules,(b. 1798 Paris d. 1860 Paris),View of Bozen with a Painter,1837,Oil on paper on canvas 31 x 39 cm,National Gallery of Art Washington,38.8913078,-77.0199585,National Gallery of Art DC,PointOfInterest,http://www.wga.hu/art/c/coignet/bozen.jpg,painting,landscape,French,1801-1850,Realism,/c/coignet/bozen
FRLICH Lorenz,(b. 1820 Hellerup d. 1908 Kbenhavn),A Large Oak,1837,Oil on paper 27 x 22 cm,Metropolitan Museum of Art New York,40.7793121,-73.9633408,The Metropolitan Museum Of Art NY,PointOfInterest,http://www.wga.hu/art/f/frolich/largeoak.jpg,painting,landscape,Danish,1851-1900,Realism,/f/frolich/largeoak
GIGANTE Giacinto,(b. 1806 Napoli d. 1876 Napoli),Storm over the Bay of Amalfi,1837,Oil on canvas 29 x 41 cm,Museo Nazionale di Capodimonte Naples,40.8401413,14.2522602,Naples Camp. Italy,city/town,http://www.wga.hu/art/g/gigante/amalfi.jpg,painting,landscape,Italian,1801-1850,Romanticism,/g/gigante/amalfi
DELACROIX Eugne,(b. 1798 Charenton-Saint-Maurice d. 1863 Paris),The Fanatics of Tangier,Y1837,Oil on canvas 98 x 131 cm,Institute of Arts Minneapolis,44.9790306,-93.2649307,Minneapolis MN,city/town,http://www.wga.hu/art/d/delacroi/3/314delac.jpg,painting,historical,French,1801-1850,Romanticism,/d/delacroi/3/314delac
MARASTONI Jakab,(b. 1804 Venezia d. 1860 Pest),Portrait of Ferenc Friedrich,1837,Oil on canvas 93 x 74 cm,Historical Picture Gallery Hungarian National Museum Budapest,47.4997215,19.0550804,Budapest Hungary,city/town,http://www.wga.hu/art/m/maraston/portrait.jpg,painting,portrait,Hungarian,1801-1850,Romanticism,/m/maraston/portrait
AMERLING Friedrich von,(b. 1803 Wien d. 1887 Wien),Likeness of a Girl,1837,Oil on canvas 64 x 51 cm,Residenzgalerie Salzburg,47.8006516,13.0433702,Salzburg Austria,city/town,http://www.wga.hu/art/a/amerling/girl.jpg,painting,portrait,Austrian,1801-1850,Romanticism,/a/amerling/girl
WINTERHALTER Franz Xaver,(b. 1805 Menzenschwand d. 1873 Frankfurt),Count Jenison-Walworth,1837,Oil on canvas 131 x 98 cm,Neue Pinakothek Munich,48.1499672,11.5709553,Neue Pinakothek BY Germany,LandmarkBuilding,http://www.wga.hu/art/w/winterhx/jenison.jpg,painting,portrait,German,1801-1850,Romanticism,/w/winterhx/jenison
ENDER Thomas,(b. 1793 Wien d. 1875 Wien),View of Rio de Janeiro,1837,Oil on canvas 127 x 189 cm,Akademie der bildenden Knste Vienna,48.2084274,16.377821,Vienna,state/province,http://www.wga.hu/art/e/ender/thomas/rjaneiro.jpg,painting,landscape,Austrian,1801-1850,Romanticism,/e/ender/thomas/rjaneiro
DELAROCHE Paul,(b. 1797 Paris d. 1856 Paris),Hemicycle (detail),1837,Encaustic wall painting,cole Nationale Suprieure des Beaux-Arts Paris,48.8567123,2.3335221,cole nationale suprieure des Beaux-Arts Paris France,TouristStructure,http://www.wga.hu/art/d/delaroch/6delaroc.jpg,painting,other,French,1801-1850,Romanticism,/d/delaroch/6delaroc
DELAROCHE Paul,(b. 1797 Paris d. 1856 Paris),Hemicycle (detail),1837,Encaustic wall painting,cole Nationale Suprieure des Beaux-Arts Paris,48.8567123,2.3335221,cole nationale suprieure des Beaux-Arts Paris France,TouristStructure,http://www.wga.hu/art/d/delaroch/7delaroc.jpg,painting,other,French,1801-1850,Romanticism,/d/delaroch/7delaroc
DELACROIX Eugne,(b. 1798 Charenton-Saint-Maurice d. 1863 Paris),Self-Portrait,1837,Oil on canvas 65 x 54 5 cm,Muse du Louvre Paris,48.8610878,2.3357501,Louvre Paris France,TouristStructure,http://www.wga.hu/art/d/delacroi/3/311delac.jpg,painting,portrait,French,1801-1850,Romanticism,/d/delacroi/3/311delac
RICHTER Adrian Ludwig,(b. 1803 Dresden d. 1884 Dresden),Crossing the Elbe at Aussig,1837,Oil on canvas 117 x 157 cm,Gemldegalerie Dresden,51.0536308,13.7408104,Dresden SN Germany,city/town,http://www.wga.hu/art/r/richtera/crossing.jpg,painting,historical,German,1801-1850,Romanticism,/r/richtera/crossing
MARTIN John,(b. 1789 Haydon Bridge d. 1854 Douglas Isle of Man),Manfred and the Alpine Witch,1837,Watercolour 388 x 558 mm,Whitworth Art Gallery Manchester,53.4605179,-2.2283421,Whitworth Art Gallery United Kingdom,PointOfInterest,http://www.wga.hu/art/m/martin/manfred.jpg,graphics,landscape,English,1801-1850,Romanticism,/m/martin/manfred
ECKERSBERG Christoffer Wilhelm,(b. 1783 Blakrog d. 1853 Kbenhavn),Morning Toilette,1837,Oil on canvas 32 x 25 cm,Hirschsprung Collection Copenhagen,55.6765289,12.5819702,Copenhagen Denmark,city/town,http://www.wga.hu/art/e/eckersbe/morningt.jpg,painting,genre,Danish,1801-1850,Neoclassicism,/e/eckersbe/morningt
HANSEN Constantin,(b. 1804 Roma d. 1880 Frederiksberg),A Group of Danish Artists in Rome,1837,Oil on canvas 62 x 74 cm,Statens Museum for Kunst Copenhagen,55.6765289,12.5819702,Copenhagen Denmark,city/town,http://www.wga.hu/art/h/hansen/groupart.jpg,painting,portrait,Danish,1801-1850,Romanticism,/h/hansen/groupart
WILKIE Sir David,(b. 1785 Cults Fife d. 1841 off Malta),Josephine and the Fortune-Teller,1837,Oil on canvas 211 x 158 cm,National Gallery of Scotland Edinburgh,55.950901,-3.1956611,Scottish National Gallery United Kingdom,Museum,http://www.wga.hu/art/w/wilkie/fortune.jpg,painting,portrait,Scottish,1801-1850,Romanticism,/w/wilkie/fortune
GIGANTE Giacinto,(b. 1806 Napoli d. 1876 Napoli),Riviera di Chiaia in Naples,1837,Watercolour and gouache 215 x 352 mm,The Hermitage St. Petersburg,59.9331818,30.3060398,St Petersburg Russia,city/town,http://www.wga.hu/art/g/gigante/riviera.jpg,graphics,landscape,Italian,1801-1850,Romanticism,/g/gigante/riviera
KRGER Franz,(b. 1797 Grossbadegast bei Kthen d. 1857 Berlin),Equestrian Portrait of Alexander I,1837,Oil on canvas 484 x 344 cm,The Hermitage St. Petersburg,59.9331818,30.3060398,St Petersburg Russia,city/town,http://www.wga.hu/art/k/kruger/alexande.jpg,painting,portrait,German,1801-1850,Romanticism,/k/kruger/alexande
ZARYANKO Sergey Konstantinovich,(b. 1818 Lyady d. 1871 Moscow),The Peter's Room in the Winter Palace,1837,Oil on canvas 86 x 110 cm,The Hermitage St. Petersburg,59.9331818,30.3060398,St Petersburg Russia,city/town,http://www.wga.hu/art/z/zaryanko/interio2.jpg,painting,interior,Russian,1801-1850,Neoclassicism,/z/zaryanko/interio2
DELACROIX Eugne,(b. 1798 Charenton-Saint-Maurice d. 1863 Paris),Cleopatra and the Peasant,1838,Oil on canvas 98 x 123 cm,Ackland Art Museum Chapel Hill,35.9148903,-79.0567703,Chapel Hill NC,city/town,http://www.wga.hu/art/d/delacroi/3/315delac.jpg,painting,mythological,French,1801-1850,Romanticism,/d/delacroi/3/315delac
HANSEN Constantin,(b. 1804 Roma d. 1880 Frederiksberg),Columns of the Temple of Neptune at Paestum,1838,Oil on canvas 32 x 25 cm,Metropolitan Museum of Art New York,40.7793121,-73.9633408,The Metropolitan Museum Of Art NY,PointOfInterest,http://www.wga.hu/art/h/hansen/columns.jpg,painting,landscape,Danish,1801-1850,Romanticism,/h/hansen/columns
WILKIE Sir David,(b. 1785 Cults Fife d. 1841 off Malta),The First Council of Queen Victoria,1838,Oil on canvas,Royal Collection Windsor,42.3178482,-83.0338669,Windsor ON,city/town,http://www.wga.hu/art/w/wilkie/queen1.jpg,painting,historical,Scottish,1801-1850,Romanticism,/w/wilkie/queen1
GLEYRE Charles-Gabriel,(b. 1806 Chevilly d. 1874 Paris),The Queen of Sheba,1838,Oil on canvas 54 x 43 cm,Muse cantonal des Beaux-Arts Lausanne,46.5195999,6.6322198,Lausanne Switzerland,city/town,http://www.wga.hu/art/g/gleyre/sheba.jpg,painting,mythological,Swiss,1801-1850,Romanticism,/g/gleyre/sheba
DANHAUSER Josef Franz,(b. 1805 Wien d. 1845 Wien),The Widow's Offering,1838,Oil on canvas 97 x 127 cm,Residenzgalerie Salzburg,47.8006516,13.0433702,Salzburg Austria,city/town,http://www.wga.hu/art/d/danhause/offering.jpg,painting,genre,Austrian,1801-1850,Romanticism,/d/danhause/offering
BRKEL Heinrich,(b. 1802 Pirmasens d. 1869 Mnchen),Rain Shower in Patenkirchen,1838,Oil on canvas 45 x 61 cm,Neue Pinakothek Munich,48.1499672,11.5709553,Neue Pinakothek BY Germany,LandmarkBuilding,http://www.wga.hu/art/b/burkel/rainshow.jpg,painting,landscape,German,1801-1850,Romanticism,/b/burkel/rainshow
DELACROIX Eugne,(b. 1798 Charenton-Saint-Maurice d. 1863 Paris),The Death of Ophelia,1838,Oil on canvas 38 x 46 cm,Neue Pinakothek Munich,48.1499672,11.5709553,Neue Pinakothek BY Germany,LandmarkBuilding,http://www.wga.hu/art/d/delacroi/3/315delad.jpg,painting,mythological,French,1801-1850,Romanticism,/d/delacroi/3/315delad
FENDI Peter,(b. 1796 Wien d. 1842 Wien),The Sad Message,1838,Oil on wood 37 x 30 cm,Historisches Museum der Stadt Wien Vienna,48.2025414,16.3687992,Vienna Austria,city/town,http://www.wga.hu/art/f/fendi/sad_mess.jpg,painting,genre,Austrian,1801-1850,Romanticism,/f/fendi/sad_mess
COROT Jean-Baptiste Camille,(b. 1796 Paris d. 1875 Paris),Young Woman (Madame Legois),1838,Oil on canvas 53 x 40 cm,Kunsthistorisches Museum Vienna,48.2084274,16.377821,Vienna,state/province,http://www.wga.hu/art/c/corot/corot07.jpg,painting,portrait,French,1801-1850,Realism,/c/corot/corot07
WALDMLLER Fedinand Georg,(b. 1793 Wien d. 1865 Helmstreitmhle),The Gierster Family,1838,Oil on canvas 174 x 143 cm,Historisches Museum Vienna,48.2084274,16.377821,Vienna,state/province,http://www.wga.hu/art/w/waldmull/gierster.jpg,painting,portrait,Austrian,1801-1850,Romanticism,/w/waldmull/gierster
DELACROIX Eugne,(b. 1798 Charenton-Saint-Maurice d. 1863 Paris),Frdric Chopin,1838,Oil on canvas 45 7 x 37 5 cm,Muse du Louvre Paris,48.8610878,2.3357501,Louvre Paris France,TouristStructure,http://www.wga.hu/art/d/delacroi/3/313delac.jpg,painting,portrait,French,1801-1850,Romanticism,/d/delacroi/3/313delac
DELACROIX Eugne,(b. 1798 Charenton-Saint-Maurice d. 1863 Paris),Medea about to Kill her Children,Y1838,Oil on canvas 122 x 84 cm,Muse du Louvre Paris,48.8610878,2.3357501,Louvre Paris France,TouristStructure,http://www.wga.hu/art/d/delacroi/3/316delac.jpg,painting,mythological,French,1801-1850,Romanticism,/d/delacroi/3/316delac
DELACROIX Eugne,(b. 1798 Charenton-Saint-Maurice d. 1863 Paris),Fan with Caricatures,1838,-,Muse Renan Scheffer Paris,48.8617,2.28247,Rue Scheffer 75116 Paris France,street,http://www.wga.hu/art/d/delacroi/6/606delac.jpg,graphics,other,French,1801-1850,Romanticism,/d/delacroi/6/606delac
TURNER Joseph Mallord William,(b. 1775 London d. 1851 Chelsea),The 'Fighting Temeraire' tugged to her Last Berth to be broken up,Y1838,Oil on canvas 91 x 122 cm,National Gallery London,51.5083351,-0.128056,National Gallery United Kingdom,BusinessStructure,http://www.wga.hu/art/t/turner/2/201turne.jpg,painting,landscape,English,1801-1850,Romanticism,/t/turner/2/201turne
