LOCATION,LANTITUDE,LONGTUDE,DESC,SOURCE,PRECISION
Collection Marques de Casa Torres   Madrid,40.4080887,-3.3640699,Torres de la Alameda   Community of Madrid   Spain,Bing Maps,city/town
Collection of the Duchess of Alba   Madrid,40.4202805,-3.70577,Madrid   Community of Madrid   Spain,Bing Maps,city/town
Columbia Museum of Art   Columbus,39.9619904,-83.0027466,Columbus   OH,Bing Maps,city/town
Corcoran Gallery of Art   Washington,38.8958282,-77.0394592,Corcoran Museum of Art   DC,Bing Maps,PointOfInterest
County Museum   Baia Mare,47.6570587,23.5660496,Baia Mare   Romania,Bing Maps,city/town
Courtauld Gallery   London,51.5115814,-0.118004,Courtauld Institute of Art   United Kingdom,Bing Maps,HigherEducationFacility
Currier Gallery of Art   Manchester   New Hampshire,42.9977684,-71.4556427,Currier Museum of Art   NH,Bing Maps,PointOfInterest
Deák Collection   Municipal Gallery   Székesfehérvár,47.1961098,18.4103699,Székesfehérvár   Hungary,Bing Maps,city/town
Del Arco Collection   Madrid,40.4202805,-3.70577,Madrid   Community of Madrid   Spain,Bing Maps,city/town
Den Hirschsprungske Samling   Copenhagen,55.6765289,12.5819702,Copenhagen   Denmark,Bing Maps,city/town
Déri Museum   Debrecen,47.5344086,21.6193199,Debrecen   Hungary,Bing Maps,city/town
Déri Museum   Debrecen (loan),47.5344086,21.6193199,Debrecen   Hungary,Bing Maps,city/town
Diputación Provincial   Valencia,38.3457565,-0.49236,Diputación Provincial   Valencia   Spain,Bing Maps,HistoricalSite
Dobó István Vármúzeum   Eger,47.8990097,20.3735695,Eger   Hungary,Bing Maps,city/town
Dumbarton Oaks Research Library and Collection   Washington,38.9138718,-77.0634766,Dumbarton Oaks   DC,Bing Maps,HistoricalSite
École des Beaux-Arts   Paris,48.85636000,2.33561000,Rue des Beaux-Arts   75006 Paris   France,Bing Maps,street
École Nationale Supérieure des Beaux-Arts   Paris,48.85671230,2.33352210,École nationale supérieure des Beaux-Arts   Paris   France,Bing Maps,TouristStructure
Episcopal Collection   Szeged,46.2544785,20.1485596,Szeged   Hungary,Bing Maps,city/town
Escuelas Pías de San Antón   Madrid,40.4202805,-3.70577,Madrid   Community of Madrid   Spain,Bing Maps,city/town
Fine Art Society   London,51.5064201,-0.12721,London   London   United Kingdom,Bing Maps,city/town
Fitzwilliam Museum   Cambridge,52.1998444,0.119861,Museu Fitzwilliam   United Kingdom,Bing Maps,LandmarkBuilding
Fogg Art Museum   Harvard University   Cambridge,42.37414930,-71.11434170,Fogg Art Museum-Harvard University   MA,Bing Maps,LandmarkBuilding
Fondation Claude Monet   Giverny,49.0760994,1.53065,Giverny   Eure   France,Bing Maps,city/town
Fondazione Magnani Rocca   Mamiano di Traversetolo,44.6403885,10.38379,Traversetolo   Em.Rom.   Italy,Bing Maps,city/town
Former Art Gallery   Budapest,47.4997215,19.0550804,Budapest   Hungary,Bing Maps,city/town
Forsyth Wickes Museum of Fine Arts   Boston,42.3393745,-71.0941315,Museum Of Fine Arts   MA,Bing Maps,PointOfInterest
Frederiksborg Slot   Hillerød,55.9333305,12.3166704,Frederiksborg Slot   Denmark,Bing Maps,TouristStructure
Freer Gallery of Art   Smithsonian Institution   Washington,38.8939362,-77.0312119,Smithsonian Institution   DC,Bing Maps,PointOfInterest
Freer Gallery of Art   Washington,38.8879662,-77.0264282,Freer Gallery of Art and Arthur M Sackler Gallery   DC,Bing Maps,PointOfInterest
Frick Collection   New York,40.7712746,-73.9671936,The Frick Collection   NY,Bing Maps,PointOfInterest
Galleria Borghese   Rome,41.90322110,12.49565030,Rome   Laz.   Italy,Bing Maps,city/town
Galleria d'Arte Moderna del Civico Museo Revoltella   Trieste,45.6507683,13.7672396,Trieste   Fr.V.G.   Italy,Bing Maps,city/town
Galleria d'Arte Moderna Ricci Oddi   Piacenza,44.7562637,9.6865129,Oddi   Em.Rom.   Italy,Bing Maps,city/town
Galleria d'Arte Moderna   Ca' Pesaro   Venice,45.4403801,12.3311453,Ca' Pesaro   Ven.   Italy,Bing Maps,LandmarkBuilding
Galleria d'Arte Moderna   Florence,43.7823715,11.2549896,Florence   Tosc.   Italy,Bing Maps,city/town
Galleria d'Arte Moderna   Milan,45.4679604,9.1817799,Milan   Lomb.   Italy,Bing Maps,city/town
Galleria degli Uffizi   Florence,43.7689171,11.255928,Palazzo degli Uffizi   Tosc.   Italy,Bing Maps,TouristStructure
Galleria dell'Arte Moderna   Palazzo Pitti   Florence,43.7650909,11.249855,Palazzo Pitti   Tosc.   Italy,Bing Maps,LandmarkBuilding
