AUTHOR,Genre
DURAND-BRAGER  Jean Baptiste Henri,Realism
DUVIVIER  Jan Bernard,Neoclassicism
DYCE  William,Romanticism
EAKINS  Thomas,Realism
ECKERSBERG  Christoffer Wilhelm,Neoclassicism
EDELFELT  Albert,Impressionism
EDLINGER  Johann Georg,Neoclassicism
ENDER  Johann,Romanticism
ENDER  Thomas,Romanticism
ENGERT  Erasmus,Romanticism
ENSOR  James,Impressionism
ESQUIVEL Y SUÁREZ DE URBINA  Antonio Maria,Neoclassicism
EVENEPOEL  Henri,Impressionism
FABBRINI  Giuseppe Antonio,Neoclassicism
FABRE  François-Xavier,Neoclassicism
FANTIN-LATOUR  Henri,Realism
FATTORI  Giovanni,Realism
FAVRETTO  Giacomo,Realism
FENDI  Peter,Romanticism
FÉNYES  Adolf,Realism
FERENCZY  Károly,Impressionism
FEUERBACH  Anselm Friedrich,Romanticism
FINCH  Alfred William,Impressionism
FISCHBACH  Johann,Romanticism
FISCHER  Josef Vinzenz,Neoclassicism
FLAMENG  François,Realism
FLANDRIN  Hippolyte,Romanticism
FOHR  Carl Philipp,Romanticism
FONTANESI  Antonio,Romanticism
FORAIN  Jean-Louis,Realism
FORTUNY Y MARSAL  Mariano,Impressionism
FRAGIACOMO  Pietro,Realism
FRAGONARD  Alexandre-Évariste,Neoclassicism
FRANQUE  Jean-Pierre,Romanticism
FRIEDRICH  Caspar David,Romanticism
FRIES  Ernst,Romanticism
FRIESEKE  Frederick Carl,Impressionism
FRØLICH  Lorenz,Realism
FROMENTIN  Eugène,Realism
FROST  William Edward,Romanticism
FÜHRICH  Joseph von,Romanticism
FUSELI  John Henry,Romanticism
GALLAIT  Louis,Romanticism
GALLEN-KALLELA  Akseli,Impressionism
GANDOLFI  Ubaldo,Neoclassicism
GÄRTNER  Eduard,Romanticism
GAUGUIN  Paul,Impressionism
GEIKIE  Walter,Romanticism
GELATI  Lorenzo,Realism
GEOFFROY  Henry-Jules-Jean,Realism
GÉRARD  François,Romanticism
GÉRICAULT  Théodore,Romanticism
GÉRÔME  Jean-Léon,Realism
GERVEX  Henri,Realism
GHERARDINI  Tommaso,Neoclassicism
GIANI  Felice,Neoclassicism
GIGANTE  Giacinto,Romanticism
GIGOLA  Giambattista,Romanticism
GILMAN  Harold,Impressionism
GIRODET DE ROUCY-TRIOSON  Anne-Louis,Neoclassicism
GLEYRE  Charles-Gabriel,Romanticism
GLOVER  John,Romanticism
GOENEUTTE  Norbert,Impressionism
GOGH  Vincent van,Impressionism
GONZAGA  Pietro di Gottardo,Romanticism
GONZALÈS  Eva,Impressionism
GORDIGIANI  Michele,Realism
GORE  Spencer Frederick,Impressionism
GOYA Y LUCIENTES  Francisco de,Romanticism
GRAEB  Carl Georg Anton,Realism
GRANET  François-Marius,Neoclassicism
GREGORIUS  Albert,Neoclassicism
GRIGORESCU  Nicolae,Realism
GROHAR  Ivan,Impressionism
GROS  Antoine-Jean,Neoclassicism
GRUBICY DE DRAGON  Vittore,Impressionism
GUDIN  Théodore,Romanticism
GUÉRIN  Pierre-Narcisse,Neoclassicism
GUILLAUMIN  Armand,Impressionism
GUTHRIE  James,Realism
HABERLE  John,Impressionism
HACKERT  Georg Abraham,Neoclassicism
HAGEN  August Mathias,Realism
HALE  Philip Leslie,Impressionism
HAMILTON  Gavin,Neoclassicism
HAMILTON  Hugh Douglas,Neoclassicism
HAMMAN  Edouard,Realism
HANSEN  Constantin,Romanticism
HARLOW  George Henry,Neoclassicism
HARNETT  William Michael,Realism
HARPIGNIES  Henri-Joseph,Realism
HASENCLEVER  Johann Peter,Romanticism
HASSAM  Childe,Impressionism
HAU  Edward Petrovich,Realism
HAUDEBOURT-LESCOT  Hortense,Neoclassicism
HAWKINS  Louis Welden,Realism
HAYDON  Benjamin Robert,Neoclassicism
HAYEZ  Francesco,Romanticism
HAYTER  George,Romanticism
HEADE  Martin Johnson,Realism
HEIM  François-Joseph,Neoclassicism
HESS  Heinrich Maria von,Romanticism
HESS  Peter von,Romanticism
HETSCH  Philipp Friedrich von,Neoclassicism
HEYERDAHL  Hans Olaf,Impressionism
HICKEY  Thomas,Romanticism
HILDEBRANDT  Eduard,Romanticism
HILDEBRANDT  Ferdinand Theodor,Realism
HOARE  Prince,Neoclassicism
HODLER  Ferdinand,Impressionism
HOECHLE  Johann Nepomuk,Neoclassicism
HOLL  Frank,Realism
HOLLÓSY  Simon,Realism
HOMER  Winslow,Realism
HOPPNER  John,Neoclassicism
HORNY  Franz,Romanticism
HOSCHEDÉ-MONET  Blanche,Impressionism
HÜBNER  Julius,Romanticism
HUDEÈEK  Antonín,Impressionism
HUMMEL  Johann Erdmann,Romanticism
HUNT  William Holman,Romanticism
HUNT  William Morris,Romanticism
INDUNO  Gerolamo,Realism
INGRES  Jean-Auguste-Dominique,Neoclassicism
INNES  George,Realism
ISABEY  Eugène,Romanticism
ISRAELS  Isaac Lazarus,Impressionism
ISRAËLS  Jozef,Impressionism
ITTENBACH  Franz,Realism
IVÁNYI GRÜNWALD  Béla,Impressionism
JACQUAND  Claudius,Romanticism
JACQUE  Charles Émile,Realism
JÄRNEFELT  Eero,Impressionism
JENSEN  Christian Albrecht,Realism
JIMÉNEZ Y ARANDA  Luis,Realism
JOHANSEN  Viggo,Impressionism
JONGKIND  Johan Barthold,Impressionism
JORIS  Pio,Realism
JOSEPHSON  Ernst,Impressionism
KAULBACH  Wilhelm von,Romanticism
KENSETT  John Frederick,Romanticism
KERSTING  Georg Friedrich,Romanticism
KEYSER  Nicaise de,Realism
KINSOEN  François-Joseph,Romanticism
KISS  Bálint,Romanticism
KLENZE  Leo von,Romanticism
KLINGER  Max,Realism
KNIP  Henriëtte,Realism
KNOLLER  Martin,Neoclassicism
KOBELL  Wilhelm von,Romanticism
KØBKE  Christen,Romanticism
KOCH  Joseph Anton,Romanticism
KOEKKOEK  Barend Cornelis,Romanticism
KOLBE  Carl Wilhelm,Neoclassicism
KOPISCH  August,Romanticism
KOROVIN  Konstantin Alekseyevich,Impressionism
KRAFFT  Johann Peter,Romanticism
KREUGER  Nils Edvard,Impressionism
KROHG  Christian,Impressionism
KRØYER  Peter Severin,Realism
KRÜGER  Franz,Romanticism
LA THANGUE  Henry Herbert,Impressionism
LAMI  Eugène Louis,Romanticism
LAMPI  Johann Baptist II,Neoclassicism
LANDI  Gaspare,Neoclassicism
LANDSEER  Sir Edwin Henry,Romanticism
LANE  Fitz Hugh,Realism
LANEUVILLE  Jean-Louis,Neoclassicism
LANGLOIS  Jérôme-Martin,Neoclassicism
LAURENS  Jean-Paul,Realism
LAWRENCE  Sir Thomas,Neoclassicism
LAWSON  Ernst,Impressionism
LE LORRAIN  Louis-Joseph,Neoclassicism
LEAR  Edward,Realism
LEBEDA  Otakar,Impressionism
LEBOURG  Albert-Charles,Impressionism
LECOMTE  Hippolyte,Romanticism
LEFÈVRE  Robert,Neoclassicism
LEGA  Silvestro,Realism
LEGROS  Alphonse,Realism
LEHMANN  Henri,Romanticism
LEIBL  Wilhelm,Realism
LEICKERT  Charles Henri Joseph,Realism
LEISTIKOW  Walter,Impressionism
LEITCH  William Leighton,Romanticism
LEMMEN  Georges,Impressionism
LEMONNIER  Anicet-Charles-Gabriel,Neoclassicism
LENBACH  Franz von,Realism
LEPRINCE  Auguste-Xavier,Romanticism
LEROLLE  Henry,Realism
LESSING  Karl Friedrich,Romanticism
LETHIÈRE  Guillaume,Neoclassicism
LEUTZE  Emanuel Gottlieb,Romanticism
LEVITAN  Isaak Ilyich,Impressionism
LEYS  Henri,Realism
LHERMITTE  Léon-Augustin,Realism
LIEBERMANN  Max,Impressionism
LIES  Jozef Hubert,Romanticism
LIEZEN-MAYER  Sándor,Realism
LIGETI  Antal,Realism
LIPPARINI  Ludovico,Romanticism
LOOS  Friedrich,Romanticism
LÓPEZ Y PIQUER  Bernardo,Romanticism
LÓPEZ Y PIQUER  Luis,Romanticism
LÓPEZ Y PORTAÑA  Vicente,Romanticism
LOTZ  Károly,Romanticism
LUCAS VELÁZQUEZ  Eugenio,Romanticism
LUCE  Maximilien,Impressionism
LUCHIAN  ªtefan,Impressionism
MACCARI  Cesare,Realism
MACHY  Pierre-Antoine de,Neoclassicism
MACLISE  Daniel,Romanticism
MACTAGGART  William,Romanticism
MADARÁSZ  Viktor,Romanticism
MADOU  Jean-Baptiste,Romanticism
MAELLA  Mariano Salvador de,Neoclassicism
MAITLAND  Paul,Impressionism
MAKART  Hans,Impressionism
MAKOVSKY  Konstantin Yegorovich,Realism
MAKOVSKY  Vladimir Yegorovich,Realism
MANET  Edouard,Impressionism
MARASTONI  Jakab,Romanticism
MARÉES  Hans von,Romanticism
MARILHAT  Prosper,Romanticism
MARIS  Jacobus Hendricus,Realism
MARIS  Matthijs,Impressionism
MARIS  Willem,Impressionism
MARKÓ  András,Romanticism
MARKÓ  Károly the Elder,Romanticism
MARSHALL  Benjamin,Romanticism
MARTIN  John,Romanticism
MATEJKO  Jan,Realism
MATTEINI  Teodoro,Romanticism
MAUREAU  Alphonse,Impressionism
MAURER  Hubert,Neoclassicism
MAUVE  Anton,Impressionism
MAY  Edward Harrison,Realism
MCNICOLL  Helen Galloway,Impressionism
MEDNYÁNSZKY  László,Realism
MEISSONIER  Jean-Louis-Ernest,Romanticism
MELBYE  Anton,Romanticism
MENJAUD  Alexandre,Neoclassicism
MENZEL  Adolph von,Realism
