AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,LANTITUDE,LONGTUDE,DESC,SOURCE,PRECISION,URL,FORM,TYPE,SCHOOL,TIMELINE,Genre
Honoré Daumier,(b. 1808  Marseille  d. 1879  Valmondois),Laundress on the Quai d'Anjou,1860,Oil on panel  29 x 20 cm,Albright-Knox Art Gallery  Buffalo,42.932457,-78.8756409,Albright-Knox Art Gallery  NY,Bing Maps,LandmarkBuilding,http://www.wga.hu/detail/d/daumier/07laundr.jpg,painting,genre,French,1801-1850,Romanticism
Vincent van Gogh,(b. 1853  Groot Zundert  d. 1890  Auvers-sur-Oise),The Old Mill,1888,Oil on canvas  65 x 54 cm,Albright-Knox Art Gallery  Buffalo,42.932457,-78.8756409,Albright-Knox Art Gallery  NY,Bing Maps,LandmarkBuilding,http://www.wga.hu/detail/g/gogh_van/09/arles47.jpg,painting,landscape,Dutch,1851-1900,Impressionism
Paul Gauguin,(b. 1848  Paris  d. 1903  Atuona  Hiva Oa  French Polynesia),The Yellow Christ,1889,Oil on canvas  92 x 73 cm,Albright-Knox Art Gallery  Buffalo,42.932457,-78.8756409,Albright-Knox Art Gallery  NY,Bing Maps,LandmarkBuilding,http://www.wga.hu/detail/g/gauguin/02/6pould05.jpg,painting,religious,French,1851-1900,Impressionism
Georges Seurat,(b. 1859  Paris  d. 1891  Paris),Study for Le Chahut,1889,Oil on canvas  56 x 47 cm,Albright-Knox Art Gallery  Buffalo,42.932457,-78.8756409,Albright-Knox Art Gallery  NY,Bing Maps,LandmarkBuilding,http://www.wga.hu/detail/s/seurat/figures/ychahut2.jpg,painting,study,French,1851-1900,Impressionism
Paul Gauguin,(b. 1848  Paris  d. 1903  Atuona  Hiva Oa  French Polynesia),The Spectre Watches over Her (Manao Tupapau),1892,Oil on canvas  73 x 92 cm,Albright-Knox Art Gallery  Buffalo,42.932457,-78.8756409,Albright-Knox Art Gallery  NY,Bing Maps,LandmarkBuilding,http://www.wga.hu/detail/g/gauguin/04/tahiti12.jpg,painting,mythological,French,1851-1900,Impressionism
Paul Cézanne,(b. 1839  Aix-en-Provence  d. 1906  Aix-en-Provence),Pool at the Jas de Bouffan,1882-85,Oil on canvas  73 x 60 cm,Albright-Knox Art Gallery  Buffalo,42.932457,-78.8756409,Albright-Knox Art Gallery  NY,Bing Maps,LandmarkBuilding,http://www.wga.hu/detail/c/cezanne/3/1lands03.jpg,painting,landscape,French,1851-1900,Impressionism
Claude Monet,(b. 1840  Paris  d. 1926  Giverny),The Garden of the Infanta,1867,Oil on canvas  91 x 62 cm,Allen Memorial Art Museum  Oberlin  Ohio,41.2935295,-82.2173309,Oberlin  OH,Bing Maps,city/town,http://www.wga.hu/detail/m/monet/01/early23.jpg,painting,landscape,French,1851-1900,Impressionism
William Merritt Chase,(b. 1849  Williamsburg  d. 1916  New York),Idle Hours,1894,Oil on canvas  65 x 90 cm,Amon Carter Museum  Fort Worth,32.7477837,-97.3685074,Amon Carter Museum  TX,Bing Maps,PointOfInterest,http://www.wga.hu/detail/c/chase/idlehour.jpg,painting,genre,American,1851-1900,Impressionism
John Singer Sargent,(b. 1856  Firenze  d. 1925  London),Dr. Pozzi at Home,1881,Oil on canvas  205 x 112 cm,Armand Hammer Collection  Los Angeles,34.0534897,-118.2453232,Los Angeles  CA,Bing Maps,city/town,http://www.wga.hu/detail/s/sargent/dr_pazzi.jpg,painting,portrait,American,1851-1900,Realism
Gustave Caillebotte,(b. 1848  Paris  d. 1894  Gennevilliers),Square at Argenteuil,1883,Oil on canvas  61 x 71 cm,Armand Hammer Collection  Los Angeles,34.0534897,-118.2453232,Los Angeles  CA,Bing Maps,city/town,http://www.wga.hu/detail/c/caillebo/14square.jpg,painting,landscape,French,1851-1900,Impressionism
